Z122;MAN (ISOLA)
Z124;NORMANNE (ISOLE)=ISOLE DEL CANALE
Z136;GEORGIA
Z137;ARMENIA
Z141;AZERBAIDJAN
Z142;KIRGHIZISTAN
Z143;UZBEKISTAN
Z147;TAGIKISTAN
Z151;TURKMENISTAN
Z152;KAZAKHISTAN
Z201;ARABIA MERIDIONALE FEDERAZIONE
Z202;ARABIA MERIDIONALE PROTETTORATO
Z218;GAZA (TERRITORIO DI)
Z238;RYUKYU (ISOLE)
Z239;SIKKIM
Z303;BASUTOLAND SUD AFRICA BRITANN
Z304;BECIUANIA SUD AFRICA BRITANNICO
Z323;IFNI
Z339;SAHARA SPAGNOLO
Z350;TANGANICA
Z356;ZANZIBAR
Z362;SAHARA MERIDIONALE
Z363;SAHARA SETTENTRIONALE
Z364;BOPHUTHATSWANA
Z365;TRANSKEI
Z366;VENDA
Z367;CISKEI
Z369;NYASALAND
Z500;ANTILLE BRITANNICHE
Z517;PANAMA ZONA DEL CANALE
Z521;ANTILLE BRITANNICHE
Z523;ANTILLE BRITANNICHE
Z701;CAROLINE (ISOLE)
Z705;GILBERT E ELLICE (ISOLE)
Z707;IRIAN OCCIDENTALE
Z708;MACQUARIE (ISOLE)
Z709;MARCUS (ISOLE)
Z712;MIDWAY (ISOLE)
Z721;ISOLE CILENE (PASQUA E SALA Y GOMEZ)
Z800;DIPENDENZE CANADESI
Z801;DIPENDENZE NORVEGESI ARTICHE
Z802;DIPENDENZE SOVIETICHE
Z900;DIPENDENZE AUSTRALIANE
Z901;DIPENDENZE BRITANNICHE
Z902;DIPENDENZE FRANCESI
Z903;DIPENDENZE NEOZELANDESI
Z904;DIPENDENZE NORVEGESI ANTARTICHE
Z905;DIPENDENZE STATUNITENSI
Z906;DIPENDENZE SUDAFRICANE
Z907;SUD SUDAN
Z102;AUSTRIA
Z246;YEMEN
Z200;AFGHANISTAN
Z532;ANTIGUA E BARBUDA
Z529;ANGUILLA (ISOLA)
Z100;ALBANIA
Z101;ANDORRA
Z302;ANGOLA
Z501;ANTILLE OLANDESI
Z252;ARMENIA
Z725;SAMOA AMERICANE (ISOLE)
Z700;AUSTRALIA
Z253;AZERBAIDJAN
Z103;BELGIO
Z358;BOTSWANA
Z249;BANGLADESH
Z522;BARBADOS
Z104;BULGARIA
Z512;BELIZE
Z205;BHUTAN
Z153;BOSNIA ED ERZEGOVINA
